,Postcode,Population
607,3195,35869
608,3292,190
609,3260,4766
610,3977,93326
611,3053,18535
612,3065,10445
613,3795,1246
614,3930,17888
615,3912,15157
616,3281,1699
617,3225,4058
618,3933,1098
619,3278,313
620,3852,93
621,3987,1527
622,3301,1211
623,3109,28360
624,3954,404
625,3234,181
626,3945,978
627,3951,1003
628,3956,2821
629,3437,10439
630,3082,29710
631,3111,12347
632,3139,13718
633,3777,10751
634,3775,3861
635,3770,3218
636,3806,48520
637,3760,369
638,3122,23511
639,3153,20554
640,3250,12250
641,3102,6635
642,3920,1040
643,3927,1667
644,3767,1251
645,3441,1335
646,3440,2040
647,3070,24561
648,3078,11638
649,3218,13437
650,3059,15466
651,3788,1738
652,3460,2567
653,3156,37464
654,3158,6652
655,3815,3022
656,3128,19828
657,3814,2255
658,3355,13014
659,3163,32353
660,3332,1014
661,3167,9261
662,3169,20122
663,3189,5895
664,3831,1702
665,3175,53297
666,3802,24298
667,3856,989
668,3177,11306
669,3857,364
670,3160,9014
671,3322,175
672,3328,1721
673,3173,25785
674,3321,1518
675,3196,25327
676,3180,7462
677,3184,15543
678,3185,12929
679,3789,265
680,3938,2823
681,3990,106
682,3991,359
683,3922,7738
684,3739,212
685,3740,1072
686,3727,309
687,3318,1267
688,3312,1031
689,3277,1926
690,3921,119
